Eastern Alberta (St. Paul),T0A,54.766,-111.7174
Wainwright Region (Tofield),T0B,53.0727,-111.5816
Central Alberta (Stettler),T0C,52.4922,-112.8113
Western Alberta (Jasper),T0E,53.4021,-117.2308
North Central Alberta (Slave Lake),T0G,55.6993,-114.4529
Northwestern Alberta (High Level),T0H,57.5403,-116.9153
Southeastern Alberta (Drumheller),T0J,50.9944,-111.4632
International Border Region (Cardston),T0K,49.4721,-112.2408
Kananaskis Country (Claresholm),T0L,50.6314,-114.4089
Central Foothills (Sundre),T0M,51.9552,-114.8691
Northeastern Alberta (Fort Chipewyan),T0P,58.1176,-111.5094
Remote Northeast (Fitzgerald),T0V,59.9049,-111.6717
Medicine Hat Central,T1A,50.0816,-110.5788
Medicine Hat South,T1B,49.835,-110.5203
Medicine Hat North,T1C,50.0774,-110.6911
Taber,T1G,49.787,-112.146
Lethbridge North,T1H,49.7,-112.8186
Lethbridge West and Central,T1J,49.6581,-112.7484
Lethbridge Southeast,T1K,49.6511,-112.8351
Banff,T1L,51.1762,-115.5698
Coaldale,T1M,49.7167,-112.6185
Strathmore,T1P,51.0501,-113.3852
Brooks,T1R,50.5834,-111.8851
Okotoks,T1S,50.7362,-113.9695
High River,T1V,50.5834,-113.8687
Canmore,T1W,51.0876,-115.3461
Chestermere,T1X,51.0334,-113.8187
Calgary (Rundle / Whitehorn / Monterey Park),T1Y,51.0823,-113.9578
Rocky View,T1Z,51.1834,-113.9353
Calgary (Penbrooke Meadows / Marlborough),T2A,51.0494,-113.9564
Calgary (Forest Lawn / Dover / Erin Woods),T2B,51.0209,-113.981
Calgary (Lynnwood Ridge / Ogden / Foothills Industrial / Great Plains),T2C,50.987,-113.9634
Calgary (Bridgeland / Greenview / Zoo / YYC),T2E,51.0876,-114.0214
Calgary (Inglewood / Burnsland / Chinatown / East Victoria Park / Saddledome),T2G,51.0272,-114.0349
Calgary (Highfield / Burns Industrial),T2H,50.9894,-114.052
Calgary (Queensland Downs / Lake Bonavista / Willow Park / Acadia),T2J,50.8476,-114.1958
Calgary (Thornecliffe / Tuxedo),T2K,51.1111,-114.0477
Calgary (Brentwood / Collingwood / Nose Hill),T2L,51.1047,-114.1148
Calgary (Mount Pleasant / Capitol Hill / Banff Trail),T2M,51.133,-113.856
Calgary (Kensington / Westmont / Parkdale / University),T2N,51.0621,-114.1159
Calgary (City Centre / Calgary Tower),T2P,51.0708,-113.6931
Calgary (Connaught / West Victoria Park),T2R,51.0412,-114.0762
Calgary (Elbow Park / Britannia / Parkhill / Mission),T2S,51.0233,-114.071
Calgary South (Altadore / Bankview / Richmond),T2T,51.0242,-114.1004
Calgary (Oak Ridge / Haysboro / Kingsland / Windsor Park),T2V,50.9819,-114.1004
Calgary (Braeside / Woodbine),T2W,50.9514,-114.3591
Calgary (Midnapore / Sundance),T2X,50.8837,-114.0326
Calgary (Millrise / Somerset / Bridlewood / Evergreen),T2Y,50.9093,-114.1028
Calgary (Douglas Glen / McKenzie Lake / Copperfield / East Shepard),T2Z,50.9278,-113.9682
Calgary (Dalhousie / Edgemont / Hamptons / Hidden Valley),T3A,51.1264,-114.1419
Calgary (Montgomery / Bowness / Silver Springs / Greenwood),T3B,51.0915,-114.2073
Calgary (Rosscarrock / Wildwood / Shaganappi / Sunalta),T3C,51.0497,-114.1394
Calgary (Lakeview / Glendale / Killarney / Glamorgan),T3E,50.9899,-114.1574
Calgary (Hawkwood / Arbour Lake / Royal Oak / Rocky Ridge),T3G,51.1387,-114.2015
Calgary (Discovery Ridge / Signal Hill / Aspen Woods / Patterson / Cougar Ridge),T3H,51.0419,-114.2
Calgary (Martindale / Taradale / Falconridge / Saddle Ridge),T3J,51.1188,-113.9471
Calgary (Sandstone / Harvest Hills / Coventry Hills / Panorama Hills / Beddington),T3K,51.1563,-114.0572
Calgary (Tuscany / Scenic Acres),T3L,51.1467,-114.3133
Calgary (Cranston),T3M,50.8796,-113.9555
Calgary Northeast,T3N,51.1626,-113.9537
Calgary (Symons Valley),T3P,51.2074,-114.1348
Calgary Northwest,T3R,51.2021,-114.2453
Calgary,T3S,50.9153,-113.8932
Redwood Meadows,T3Z,51.0691,-114.4727
Airdrie East,T4A,51.2799,-113.988
Airdrie West,T4B,51.3082,-114.0398
Cochrane,T4C,51.1834,-114.4687
Red Deer County,T4E,52.212,-113.7239
Innisfail,T4G,52.0269,-113.9507
Olds,T4H,51.7834,-114.102
Ponoka,T4J,52.6768,-113.5815
Lacombe,T4L,52.4668,-113.7353
Red Deer Central,T4N,52.2316,-113.8358
Red Deer North,T4P,52.2954,-113.8073
Red Deer South,T4R,52.2424,-113.7784
Sylvan Lake,T4S,52.3168,-114.0853
Rocky Mountain House,T4T,52.3668,-114.9188
Camrose,T4V,53.0168,-112.8353
Beaumont,T4X,53.3501,-113.4187
Edmonton (West Clareview / East Londonderry),T5A,53.5931,-113.4077
Edmonton (East North Central / West Beverly),T5B,53.7353,-113.3369
Edmonton (Central Londonderry),T5C,53.5996,-113.4549
Edmonton (West Londonderry / East Calder),T5E,53.7358,-113.4524
Edmonton (North Central / Queen Mary Park / YXD),T5G,53.5705,-113.5051
Edmonton (North and East Downtown Fringe),T5H,53.5514,-113.4916
Edmonton (North Downtown),T5J,53.5428,-113.4974
Edmonton (South Downtown / South Downtown Fringe),T5K,53.5366,-113.5103
Edmonton (North Westmount / West Calder / East Mistatim),T5L,53.585,-113.5526
Edmonton (South Westmount / Groat Estate / East Northwest Industrial),T5M,53.563,-113.5662
Edmonton (Glenora / SW Downtown Fringe),T5N,53.5436,-113.5574
Edmonton (North Jasper Place),T5P,53.5463,-113.5957
Edmonton (Central Jasper Place / Buena Vista),T5R,53.5181,-113.5797
Edmonton (West Northwest Industrial / Winterburn),T5S,53.5634,-113.6697
Edmonton West (West Jasper Place / West Edmonton Mall),T5T,53.5185,-113.6579
Edmonton (Central Mistatim),T5V,53.5848,-113.6224
Edmonton (Central Beverly),T5W,53.5645,-113.4022
Edmonton (East Castledowns),T5X,53.6313,-113.5245
Edmonton (Landbank / Oliver / East Lake District),T5Y,53.6585,-113.3614
Edmonton (West Lake District),T5Z,53.6365,-113.4673
Edmonton (North Capilano),T6A,53.5482,-113.4318
Edmonton (SE Capilano / West Southeast Industrial / East Bonnie Doon),T6B,53.5128,-113.4194
Edmonton (Central Bonnie Doon),T6C,53.522,-113.459
Edmonton (South Bonnie Doon / East University),T6E,53.4914,-113.4802
Edmonton (West University / Strathcona Place),T6G,53.521,-113.5324
Edmonton (Southgate / North Riverbend),T6H,53.3753,-113.4585
Edmonton (Kaskitayo),T6J,53.4564,-113.521
Edmonton (West Mill Woods),T6K,53.4609,-113.4519
Edmonton (East Mill Woods),T6L,53.4593,-113.4145
Edmonton Southwest,T6M,53.4593,-113.6546
Edmonton (South Industrial),T6N,53.465,-113.4776
Edmonton (East Southeast Industrial / South Clover Bar),T6P,53.5078,-113.3723
Edmonton (Riverbend),T6R,53.4567,-113.5801
Edmonton (North Clover Bar),T6S,53.5806,-113.3374
Edmonton (Meadows),T6T,53.4617,-113.371
Edmonton (West Castledowns),T6V,53.6112,-113.5746
Edmonton (Heritage Valley),T6W,53.4179,-113.5785
Edmonton (Ellerslie),T6X,53.4154,-113.4178
Drayton Valley,T7A,53.2168,-114.9854
Edson,T7E,53.5834,-116.4356
Barrhead,T7N,54.1334,-114.4021
Westlock,T7P,54.1502,-113.8688
Whitecourt,T7S,54.1501,-115.6855
Hinton,T7V,53.4001,-117.5857
Spruce Grove North,T7X,53.5334,-113.9187
Spruce Grove South,T7Y,53.4184,-113.8097
Stony Plain,T7Z,53.5334,-114.0021
Sherwood Park West,T8A,53.528,-113.2512
Sherwood Park Outer Southwest,T8B,53.4397,-113.2952
Sherwood Park Inner Southwest,T8C,53.4391,-113.1903
