Aarau,5000,47.389,8.0487
Aarau 1 Fächer,5001,47.3922,8.0497
Aarau,5004,47.4009,8.0606
Barmelweid,5017,47.4224,7.974
Erlinsbach,5018,47.4125,8.0089
Rombach,5022,47.4057,8.0466
Biberstein,5023,47.4195,8.0827
Küttigen,5024,47.4204,8.0461
Asp,5025,47.4418,8.0539
Densbüren,5026,47.4555,8.0572
Aarau Rohr,5032,47.4046,8.081
Buchs AG,5033,47.3931,8.0756
Suhr,5034,47.3747,8.0858
Unterentfelden,5035,47.3686,8.0412
Oberentfelden,5036,47.3542,8.0396
Muhen,5037,47.3341,8.0632
Hirschthal,5042,47.3175,8.0679
Gränichen,5722,47.3543,8.1057
Turgi,5300,47.49,8.2562
Siggenthal Station,5301,47.5149,8.2398
Würenlingen,5303,47.531,8.2477
Baden,5400,47.4716,8.2925
Baden,5401,47.4667,8.3
Baden,5402,47.4667,8.3
Baden,5404,47.4541,8.2782
Dättwil AG,5405,47.4545,8.2843
Rütihof,5406,47.4383,8.2658
Ennetbaden,5408,47.4798,8.3277
Vogelsang AG,5412,47.4966,8.2408
Birmenstorf AG,5413,47.4517,8.2668
Nussbaumen AG,5415,47.4954,8.2957
Kirchdorf AG,5416,47.4994,8.2798
Untersiggenthal,5417,47.5038,8.2562
Ehrendingen,5420,47.4956,8.3446
Freienwil,5423,47.4984,8.3205
Wettingen,5430,47.4629,8.3321
Wettingen Sonderdienste,5431,47.4556,8.3333
Neuenhof,5432,47.4446,8.3253
Würenlos,5436,47.4474,8.3622
Fislisbach,5442,47.4364,8.2905
Niederrohrdorf,5443,47.4228,8.3018
Künten,5444,47.3891,8.3264
Oberrohrdorf,5452,47.4239,8.3228
Remetschwil,5453,47.4073,8.3351
Bellikon,5454,47.3919,8.3483
Mägenwil,5506,47.4138,8.2335
Mellingen,5507,47.4205,8.2727
Wohlenschwil,5512,47.4182,8.2529
Stetten AG,5608,47.4036,8.3023
Kloster Fahr,8109,47.4083,8.4391
Killwangen,8956,47.4275,8.3409
Spreitenbach,8957,47.4174,8.3667
Bergdietikon,8962,47.3885,8.3793
Eggenwil,5445,47.3711,8.338
Tägerig,5522,47.3976,8.2789
Niederwil AG,5524,47.3745,8.2921
Fischbach-Göslikon,5525,47.3687,8.3122
Dottikon,5605,47.3747,8.2454
Hägglingen,5607,47.3908,8.2569
Wohlen AG,5610,47.3507,8.2859
Anglikon,5611,47.3651,8.2618
Villmergen,5612,47.3479,8.2387
Hilfikon,5613,47.3308,8.2436
Sarmenstorf,5614,47.3112,8.2509
Büttikon AG,5619,47.3285,8.268
