Tililane,01000,28.07,0.1158
Tazegghat,01001,29.2687,0.2604
Adrar Sidi Med Belekbir,01002,28.07,0.1158
Omanate,01003,27.2049,0.4054
Taourirt,01004,26.7041,0.2172
Adrar 1er Nov 54,01005,28.07,0.1158
Adrar Cite Administrative,01006,28.07,0.1158
Zaglou,01007,27.2686,-0.2101
Zaouiet Sidi Abdelkader,01008,28.2145,-0.1335
Sidi Cherif,01009,29.2959,0.2655
Bordj Badji Mokhtar,01010,28.7358,0.2367
El Habla,01011,28.3319,-0.2243
Aboud,01012,28.7141,0.3337
Tabelkoza,01013,29.7899,0.7538
Tebbou,01014,28.2438,-0.0909
Kaberten,01015,28.7358,0.2367
Barbaa,01016,28.7358,0.2367
Zaouiet Lahchef,01017,28.7358,0.2367
Adrar Hay El Gharbi,01018,28.7358,0.2367
Oudjlane,01019,28.7358,0.2367
Antar,01020,27.4471,-0.2675
Touki,01021,27.9365,-0.243
Lagrara,01022,28.2078,-0.1744
Bouda El Mansour,01023,27.9365,-0.243
Ikkis,01024,27.9365,-0.243
Ouled Arroussa,01025,27.8444,-0.3494
Gasbet Sidi Said,01026,27.9365,-0.243
Allouchia,01027,27.6504,-0.3151
Tittaf,01028,27.9365,-0.243
Noum Ennasse,01029,27.7605,-0.26
Melouka,01030,27.8638,-0.3418
Tit,01031,28.8251,-0.0191
Adjir,01032,28.8251,-0.0191
Oufrane,01033,28.5401,0.1843
Naama,01034,29.415,-0.4039
Ingueloů,01035,28.8251,-0.0191
Ouled Abbou,01036,28.7716,0.0537
M'Guiden,01037,28.8251,-0.0191
Metarfa,01038,28.5844,-0.1504
Hadj Guelmane,01039,29.4249,0.273
Zaouiet Cheikh B  Abdelkrim,01040,27.1484,-0.1461
In Belbel,01041,27.8829,1.1698
Timiaouine,01042,27.1441,0.6003
Aoulef Cheurfa,01043,27.01,1.0634
Akabli,01044,26.7083,1.3753
Ait Messaoud,01045,27.1441,0.6003
Tinourt,01046,27.1441,0.6003
Tillouline,01047,27.1441,0.6003
Timadanine,01048,27.1441,0.6003
Inzeghmir,01049,27.0938,-0.1206
Baouandji,01050,28.2134,0.1323
Hiha,01051,28.2134,0.1323
Timimoun Zaouiet El Ma,01052,28.2134,0.1323
Ech Cheliff Rp,02000,36.2394,1.3342
Oued Fodda Moussalaha,02001,36.2394,1.3342
