Jakub,974 01,48.7681,19.1363
Kremnička,974 05,48.6967,19.1276
Sásová,974 11,48.7546,19.157
Staré Hory,976 02,48.8391,19.1148
Harmanec,976 03,48.8218,19.0333
Selce,976 11,48.7626,19.203
Podkonice,976 13,48.7999,19.2575
Hronsek,976 31,48.6525,19.1568
Badín,976 32,48.6638,19.1232
Ponická Lehôtka,976 33,48.6919,19.2829
Jabriková,976 34,48.7457,19.0653
Hrochoť,976 37,48.6557,19.3128
Donovaly,976 39,48.7007,19.1721
Ľubietová,976 55,48.7453,19.361
Hiadeľ,976 61,48.8105,19.3156
Pohronský Bukovec,976 62,48.796,19.3841
Štiavnička,976 81,48.8042,19.5511
Medzibrod,976 96,48.7943,19.3537
Kozelník,966 15,48.5119,18.9974
Vysoká,969 01,48.412,18.7895
Svätý Anton,969 72,48.4192,18.9401
Prenčov,969 73,48.3582,18.9247
Štiavnické Bane,969 81,48.4394,18.8555
Močiar,969 82,48.5419,18.9464
Mýto pod Ďumbierom,976 44,48.7871,19.5587
Osrblie,976 45,48.7561,19.5247
Valaská,976 46,48.8076,19.571
Bruchačka,976 51,48.7186,19.625
Dobroč,976 52,48.733,19.7007
Kysuca,976 53,48.6427,19.6457
Pohronská Polhora,976 56,48.7572,19.7932
Michalová,976 57,48.7679,19.7809
Predajná,976 63,48.8169,19.4609
Podholie,976 64,48.8414,19.7508
Polomka,976 66,48.8523,19.8525
Závadka nad Hronom,976 67,48.8505,19.9115
Heľpa,976 68,48.861,19.9692
Zlatno,976 69,48.5185,19.8191
Červená Skala,976 71,48.8206,20.1365
Telgárt,976 73,48.8516,20.1885
Jasenie,976 75,48.8388,19.4597
Dubová,976 97,48.8156,19.4282
Vajsková,976 98,48.8246,19.5033
Jarabá,977 01,48.8892,19.689
Mazorníkovo,977 03,48.8533,19.6571
Vígľaš,962 02,48.5632,19.3029
Kriváň,962 04,48.5282,19.4483
Žabica,962 05,48.5833,19.6167
Zapriechody,962 12,48.5697,19.3864
Jašov Vrch,962 25,48.4915,19.3132
Horný Tisovník,962 75,48.4171,19.363
Čechánky,985 45,48.5493,19.5916
Ivanišovo,985 51,48.5167,19.4814
Dolné Mladonice,962 41,48.339,19.1275
Senohrad,962 43,48.3578,19.1982
Trpín,962 44,48.2967,19.1403
Selce,962 51,48.2559,19.0429
